http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-975294,ssubSET:R-HSA-975294
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,ssubSET:R-HSA-2023861
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,ssubSET:R-HSA-2023864
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,ssubSET:R-HSA-8870313
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806229,ssubSET:R-HSA-1806229
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023867,ssubSET:R-HSA-2023867,P0DP23
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2316432,ssubSET:R-HSA-2316432
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-399856,ssubSET:R-HSA-399856
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-437157,ssubSET:R-HSA-437157
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-265569,Q9NY47,P54284,Q08289,ssubSET:R-HSA-265569
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-500048,ssubSET:R-HSA-500048
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2534069,ssubSET:R-HSA-2534069
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-913447,P42229,P51692
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-173750,ssubSET:R-HSA-173750
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8981940,ssubSET:R-HSA-8981940
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-507859,ssubSET:R-HSA-507859
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-464971,P11413
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-372874,ssubSET:R-HSA-372874
http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-198809,ssubSET:R-HSA-198809
